SITE,PLOT,COL,ROW,TAG,STEM,PBD,BD21,PDBH,DBH21,PHT,HT21,FL21,PCWA,CWA21,PCWB,CWB21,PCODE,CODE21,PCOMM,COMM21
Buckhorn,4,4,15,1502, ,   ,   ,129,188,870,1170,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,2,3,7624,   ,   ,   ,98,137,690,970,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,3,2,2855,   ,   ,   ,81,101,600,840,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,3,5,3153,   ,   ,   ,127,176,760,1030,1,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,1,4,2,3186,   ,   ,   ,79,111,620,920,  ,279,320,273,314,          ,          ,          ,          
Buckhorn,1,4,3,2908,   ,   ,   ,72,85,490,610,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,5,2,7823,   ,   ,   ,116,171,790,1080,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,1,5,3,7880,   ,   ,   ,98,137,710,1010,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,6,2,3096,   ,   ,   ,90,134,600,900,  ,346,444,341,422,rmc2      ,          ,          ,          
Buckhorn,1,6,4,7802,   ,   ,   ,85,120,610,850,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,1,6,5,7522,   ,   ,   ,105,141,690,980,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,2,2,7,8549,   ,   ,   ,117,174,830,1160,  ,478,580,449,548,          ,          ,          ,          
Buckhorn,2,4,6,8475,   ,   ,   ,70,103,560,940,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,2,4,8,3784,   ,   ,   ,82,125,590,960,  ,355,500,333,463,rmc2      ,          ,          ,          
Buckhorn,2,6,8,3824,   ,   ,   ,75,116,640,1010,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,2,6,9,3941,   ,   ,   ,70,104,490,830,  ,    ,    ,    ,    ,rmc1      ,          ,cn1       ,top bent  
Buckhorn,3,2,11,952,   ,   ,   ,89,123,670,940,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,3,2,12,5880,   ,   ,   ,105,128,670,880,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,3,3,10,1959,   ,   ,   ,94,133,770,990,  ,374,455,361,410,cn1       ,          ,          ,          
Buckhorn,3,4,10,5978,   ,   ,   ,107,151,650,870,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,3,4,13,5090,   ,   ,   ,157,212,920,1170,  ,    ,    ,    ,    ,mlt       ,          ,rmc2      ,          
Buckhorn,3,5,11,841,   ,   ,   ,129,207,830,1150,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,3,5,13,5847,   ,   ,   ,136,178,820,1140,  ,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,3,6,11,138,   ,   ,   ,31,41,320,380,  ,    ,    ,    ,    ,chl       ,          ,          ,top bent  
Buckhorn,3,6,12,5921,   ,   ,   ,126,180,820,1180,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,4,2,14,6658,   ,   ,   ,95,136,690,980,  ,335,421,331,381,          ,          ,          ,          
Buckhorn,4,2,15,6234,   ,   ,   ,149,206,890,1260,  ,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,4,2,17,11443,   ,   ,   ,70,89,510,710,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,4,4,17,1393,   ,   ,   ,113,160,760,1070,  ,466,537,415,531,          ,          ,          ,          
Buckhorn,4,5,14,1284,   ,   ,   ,143,204,840,1170,  ,    ,576,    ,512,mlt ctl   ,          ,          ,          
Buckhorn,4,6,14,1488,   ,   ,   ,91,125,610,920,  ,462,501,458,466,          ,          ,          ,          
Buckhorn,4,6,16,6612,   ,   ,   ,125,171,750,1050,  ,413,514,385,469,mlt       ,          ,          ,          
Buckhorn,4,6,17,1835,   ,   ,   ,123,170,720,970,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,5,2,18,6635,   ,   ,   ,114,165,730,1040,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,2,20,5606,   ,   ,   ,123,171,740,980,  ,    ,    ,    ,    ,mlt       ,          ,rmc2      ,          
Buckhorn,5,2,21,5566,   ,   ,   ,120,172,730,1060,  ,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,5,3,18,1594,   ,   ,   ,95,126,650,880,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,3,19,5629,   ,   ,   ,118,179,760,1110,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,3,21,6633,   ,   ,   ,130,179,810,1070,  ,    ,    ,    ,    ,mlt       ,          ,rmc2      ,          
Buckhorn,5,4,18,692,   ,   ,   ,132,180,730,1010,  ,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,5,4,19,1623,   ,   ,   ,108,143,700,1040,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,4,21,6421,   ,   ,   ,113,155,760,1070,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,5,18,714,   ,   ,   ,81,108,580,790,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,5,19,2362,   ,   ,   ,132,186,830,1140,1,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,5,5,20,620,   ,   ,   ,105,140,640,920,  ,    ,    ,    ,    ,mlt       ,          ,          ,          
Buckhorn,5,5,21,5643,   ,   ,   ,138,185,800,1120,1,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,5,6,18,588,   ,   ,   ,120,157,730,1030,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,5,6,20,2424,   ,   ,   ,160,216,740,990,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,6,2,24,6565,   ,   ,   ,158,200,810,1160,  ,    ,    ,    ,    ,mlt       ,          ,mlt       ,          
Buckhorn,6,2,25,7461,   ,   ,   ,147,192,900,1280,  ,    ,    ,    ,    ,cn2       ,          ,mlt       ,          
Buckhorn,6,3,24,6534,   ,   ,   ,119,161,880,1210,  ,    ,    ,    ,    ,cn2       ,          ,          ,          
Buckhorn,6,4,22,4506,   ,   ,   ,157,213,990,1250,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,6,4,24,7395,   ,   ,   ,152,208,860,1190,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,6,5,22,4794,   ,   ,   ,133,176,810,1060,1,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,6,5,23,4475,   ,   ,   ,125,171,860,1210,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,6,5,25,4841,   ,   ,   ,171,230,950,1320,  ,    ,    ,    ,    ,cn1       ,          ,          ,          
Buckhorn,7,9,23,1194,   ,   ,   ,130,173,910,1210,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,7,11,22,181,   ,   ,   ,138,197,790,1080,  ,    ,    ,    ,    ,mlt       ,          ,rmc2      ,          
Buckhorn,8,7,20,3585,   ,   ,   ,90,125,610,850,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,8,8,19,8043,   ,   ,   ,82,100,540,720,  ,323,397,311,396,mlt       ,          ,          ,          
Buckhorn,8,8,20,3315,   ,   ,   ,85,120,540,780,  ,    ,    ,    ,    ,rmc2      ,          ,          ,          
Buckhorn,8,9,19,8226,   ,   ,   ,69,90,450,690,  ,    ,    ,    ,    ,rmc2      ,          ,old ht370 ,          
Buckhorn,8,9,20,3228,   ,   ,   ,99,139,590,870,  ,367,459,351,458,          ,          ,          ,          
Buckhorn,8,10,19,7971,   ,   ,   ,59,93,450,740,  ,306,332,292,320,          ,          ,          ,          
Buckhorn,8,10,20,3555,   ,   ,   ,90,112,560,790,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,8,10,21,3483,   ,   ,   ,48,56,360,440,  ,    ,    ,    ,    ,chl       ,          ,          ,          
Buckhorn,8,11,19,8182,   ,   ,   ,85,95,570,670,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,8,11,21,3442,   ,   ,   ,64,76,470,600,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,9,7,14,3682,   ,   ,   ,89,130,770,1130,  ,    ,    ,    ,    ,          ,          ,          ,          
Buckhorn,9,7,15,9210,   ,   ,   ,130,175,800,1130,  ,508,530,452,430,mlt       ,          ,rmc2      ,          
Buckhorn,9,8,16,8367,   ,   ,   ,173,228,940,1310,  ,537,548,514,516,rmc2      ,          ,          ,          
