SITE,PLOT,COL,ROW,TAG,STEM,DBH24,HT21,HT23,HT24,HTLC24,COMMENT
    Buck,15,14,26,9215,   ,295,1340,1300,1420,430,                         
    Buck,15,14,27,9180,   ,233,1270,1510,1650,470,                         
    Buck,15,14,28,3621,   ,212,1260,1440,1580,460,                         
    Buck,15,14,29,3761,   ,238,1300,1490,1610,510,                         
    Buck,15,15,26,8771,   ,291,1410,1520,1650,460,                         
    Buck,15,15,27,8357,   ,205,1090,1360,1470,500,                         
    Buck,15,15,28,3666,   ,194,1270,1320,1430,600,                         
    Buck,15,15,29,8308,   ,280,1430,     ,     ,     ,top bent                 
    Buck,15,16,26,8859,   ,268,1270,1620,1710,520,                         
    Buck,15,16,27,8414,   ,203,1070,1230,1320,400,                         
    Buck,15,16,28,4170,   ,218,1310,1510,1630,510,                         
    Buck,15,16,29,4633,   ,225,1240,     ,1500,470,                         
    Buck,15,17,26,8288,   ,     ,     ,     ,     ,     ,                         
    Buck,15,17,27,4250,   ,260,1300,1390,1490,440,                         
    Buck,15,17,28,3701,   ,245,1310,1490,1620,530,                         
    Buck,15,17,29,4678,   ,295,1360,1520,1620,540,                         
    Buck,15,18,26,8738,   ,240,1140,1330,1420,480,                         
    Buck,15,18,27,8810,   ,311,1260,1510,1620,530,                         
    Buck,15,18,28,4135,   ,270,1290,1440,1580,430,                         
    Buck,15,18,29,4228,   ,237,1200,1450,1560,640,                         
    Buck,18,14,38,6462,   ,236,1270,1490,1580,460,                         
    Buck,18,14,39,7187,   ,236,1200,1340,1470,490,                         
    Buck,18,14,40,6498,   ,156,1050,1220,1310,480,                         
    Buck,18,14,41,7288,   ,156,1000,1100,1200,440,                         
    Buck,18,15,38,7259,   ,283,1280,1720,1810,450,                         
    Buck,18,15,39,8952,   ,243,1350,1600,1700,630,                         
    Buck,18,15,40,7328,   ,280,1330,     ,1590,500,                         
    Buck,18,15,41,4386,   ,220,1230,1370,1480,460,                         
    Buck,18,16,38,8907,   ,228,1310,1470,1600,480,                         
    Buck,18,16,39,8993,   ,266,1470,1640,1740,510,                         
    Buck,18,16,40,2587,   ,254,1390,1580,1740,420,                         
    Buck,18,16,41,2508,   ,     ,     ,     ,     ,     ,                         
    Buck,18,17,38,2533,   ,141,980,1110,1200,500,                         
    Buck,18,17,39,1647,   ,51,520,540,550,290,                         
    Buck,18,17,40,4936,   ,229,1180,1380,1500,520,                         
    Buck,18,17,41,1722,a  ,249,1290,1510,1630,590,                         
    Buck,18,17,41,1722,b  ,206,1340,1560,1670,570,                         
    Buck,18,18,38,9023,   ,223,1350,1570,1710,480,                         
    Buck,18,18,39,4326,   ,235,     ,1310,1410,430,                         
    Buck,18,18,40,4438,   ,     ,     ,     ,     ,     ,                         
    Buck,18,18,41,4311,   ,251,1300,1490,1590,410,                         
    Buck,19,19,38,32697,   ,121,960,1110,1190,490,                         
    Buck,19,19,39,3907,   ,229,1200,1420,1530,500,                         
    Buck,19,19,40,8712,   ,     ,     ,     ,     ,     ,                         
    Buck,19,19,41,8506,   ,     ,     ,     ,     ,     ,                         
    Buck,19,20,38,4038,   ,142,1130,1360,1480,510,                         
    Buck,19,20,39,4008,   ,285,1370,     ,1740,330,                         
    Buck,19,20,40,8644,   ,     ,     ,     ,     ,     ,                         
    Buck,19,20,41,8604,   ,244,1270,1480,1590,410,                         
    Buck,19,21,38,4036,   ,181,1240,1400,1530,560,                         
    Buck,19,21,39,4118,   ,264,1420,1560,1680,460,                         
    Buck,19,21,40,8472,   ,     ,     ,     ,     ,     ,                         
    Buck,19,21,41,8421,   ,     ,     ,     ,     ,     ,                         
    Buck,19,22,38,3940,   ,207,1220,     ,1480,630,no top                   
    Buck,19,22,39,3780,   ,202,1200,     ,1450,660,                         
    Buck,19,22,40,3874,   ,260,1440,1720,1870,590,                         
    Buck,19,22,41,3837,   ,267,1210,1350,1460,530,no main top              
    Buck,19,23,38,3819,   ,297,1520,1640,1790,640,                         
